TID GID GT TTy ReqT TAr TT Res
1	 0	 4	 Q	 0	 0	 1	 S	
2	 0	 4	 P	 0	 0	 3	 A	
3	 2	 1	 C	 2	 2	 1	 B	
4	 2	 1	 D	 2	 3	 1	 S	
5	 0	 4	 C	 0	 3	 1	 A	
6	 3	 3	 A	 3	 3	 2	 B	
7	 0	 4	 D	 0	 4	 1	 S	
8	 4	 1	 C	 4	 4	 1	 A	
9	 4	 1	 D	 4	 5	 1	 S	
10	 5	 1	 C	 5	 5	 1	 A	
11	 3	 3	 C	 3	 5	 1	 B	
12	 5	 1	 D	 5	 6	 1	 S	
13	 6	 1	 C	 6	 6	 1	 A	
14	 3	 3	 D	 3	 6	 2	 S	
15	 7	 1	 C	 7	 7	 1	 B	
16	 6	 1	 D	 6	 7	 2	 S	
17	 8	 1	 C	 8	 8	 1	 B	
18	 7	 1	 D	 7	 8	 2	 S	
19	 1	 2	 P	 1	 1	 9	 A	
20	 8	 1	 D	 8	 9	 2	 S	
21	 9	 3	 A	 9	 9	 2	 B	
22	 1	 2	 C	 1	 10	 1	 A	
23	 1	 2	 D	 1	 11	 1	 S	
24	 9	 3	 C	 9	 11	 1	 B	
25	 9	 3	 D	 9	 12	 1	 S	
26	 10	 2	 P	 10	 10	 4	 A	
27	 11	 3	 A	 11	 11	 3	 B	
28	 13	 1	 C	 13	 13	 2	 A	
29	 10	 2	 C	 10	 14	 1	 B	
30	 13	 1	 D	 13	 15	 1	 S	
31	 11	 3	 C	 11	 14	 2	 A	
32	 10	 2	 D	 10	 15	 2	 S	
33	 14	 3	 A	 14	 14	 3	 B	
34	 11	 3	 D	 11	 16	 2	 S	
35	 16	 1	 C	 16	 16	 2	 B	
36	 12	 2	 P	 12	 12	 7	 A	
37	 16	 1	 D	 16	 18	 1	 S	
38	 14	 3	 C	 14	 17	 2	 B	
39	 12	 2	 C	 12	 19	 1	 A	
40	 14	 3	 D	 14	 19	 1	 S	
41	 12	 2	 D	 12	 20	 1	 S	
42	 15	 3	 A	 15	 15	 6	 B	
43	 20	 1	 C	 20	 20	 2	 B	
44	 17	 2	 P	 17	 17	 6	 A	
45	 20	 1	 D	 20	 22	 1	 S	
46	 15	 3	 C	 15	 21	 2	 B	
47	 22	 1	 C	 22	 22	 2	 A	
48	 15	 3	 D	 15	 23	 1	 S	
49	 17	 2	 C	 17	 23	 1	 B	
50	 22	 1	 D	 22	 24	 1	 S	
51	 24	 1	 C	 24	 24	 1	 B	
52	 17	 2	 D	 17	 24	 2	 S	
53	 18	 2	 P	 18	 18	 9	 A	
54	 25	 3	 A	 25	 25	 2	 B	
55	 24	 1	 D	 24	 25	 2	 S	
56	 26	 1	 C	 26	 26	 2	 A	
57	 18	 2	 C	 18	 27	 1	 B	
